	Day	UseForFinalData	Well	Sample	PEG	Sex	Mouse_num	Osmolality	Species	Primer_Set	Output_Conc(copies/ul)	Accepted_droplets	Positive_dropletes	Rxn_Well_volume_ul	DropletGenerator_volume	template_input_ul	Diluted_conc(copies/ul)	dilution	Undiluted_Copies/ul	Rel_abund_sample_ddPCR	Total_sample_absolute_load_ul	Total_sample_absolute_load_ml	Total_CFU_ml
44	2024-05-10	y	A03	15_F1	15.0	F	1	788	Muribaculum intestinale	2	0.0			22	20	2.0	0.0	100	0.0				
45	2024-05-10	y	B03	15_F3	15.0	F	3	860	Muribaculum intestinale	2	0.0704033598303795			22	20	2.0	0.0387218479067087	100	3.87218479067087				
46	2024-05-10	y	C03	0_M1	0.0	F	1	455	Akkermansia muciniphila	2	79.685661315918			22	20	2.0	43.8271137237549	1000	43827.1137237549				
47	2024-05-10	y	D03	0_M2	0.0	M	2	437	Akkermansia muciniphila	2	43.3162689208984			22	20	2.0	23.8239479064941	1000	23823.9479064941				
48	2024-05-10	y	E03	0_M3	0.0	M	3	503	Akkermansia muciniphila	2	168.281753540039			22	20	2.0	92.5549644470215	1000	92554.9644470215				
49	2024-05-10	y	F03	0_F1	0.0	F	1	370	Akkermansia muciniphila	2	18.2750358581543			22	20	2.0	10.0512697219849	1000	10051.2697219849				
50	2024-05-10	y	G03	0_F2	0.0	F	2	384	Akkermansia muciniphila	2	91.1161117553711			22	20	2.0	50.1138614654541	1000	50113.8614654541				
51	2024-05-10	y	H03	0_F3	0.0	F	3	343	Akkermansia muciniphila	2	46.5635147094727			22	20	2.0	25.60993309021	1000	25609.93309021				
52	2024-05-10	y	A04	2_M1	2.5	M	1	535	Akkermansia muciniphila	2	5.22705125808716			22	20	2.0	2.87487819194794	1000	2874.87819194794				
53	2024-05-10	y	B04	2_M2	2.5	M	2	495	Akkermansia muciniphila	2	87.1544799804688			22	20	2.0	47.9349639892578	1000	47934.9639892578				
54	2024-05-10	y	C04	2_M3	2.5	M	3	491	Akkermansia muciniphila	2	86.5561447143555			22	20	2.0	47.6058795928955	1000	47605.8795928955				
55	2024-05-10	y	D04	2_F1	2.5	F	1	402	Akkermansia muciniphila	2	162.19482421875			22	20	2.0	89.2071533203125	1000	89207.1533203125				
56	2024-05-10	y	E04	2_F2	2.5	F	2	527	Akkermansia muciniphila	2	9.38323307037354			22	20	2.0	5.16077818870544	1000	5160.77818870544				
57	2024-05-10	y	F04	2_F3	2.5	F	3	479	Akkermansia muciniphila	2	79.7417144775391			22	20	2.0	43.8579429626465	1000	43857.9429626465				
58	2024-05-10	y	G04	10_F1	10.0	F	1	722	Akkermansia muciniphila	2	1380.01977539062			22	20	2.0	759.010876464844	100	75901.0876464844				
59	2024-05-10	y	H04	15_M3	15.0	M	3	673	Akkermansia muciniphila	2	367.436645507812			22	20	2.0	202.090155029297	100	20209.0155029297				
60	2024-05-10	y	A05	0_M1	0.0	M	1	455	Bacteroides thetaiotaomicron	2	412.334381103516			22	20	2.0	226.783909606934	1000	226783.909606934				
61	2024-05-10	y	B05	0_M2	0.0	M	2	437	Bacteroides thetaiotaomicron	2	174.162094116211			22	20	2.0	95.789151763916	1000	95789.151763916				
62	2024-05-10	y	C05	0_M3	0.0	M	3	503	Bacteroides thetaiotaomicron	2	772.216247558594			22	20	2.0	424.718936157227	1000	424718.936157227				
63	2024-05-10	y	D05	0_F1	0.0	F	1	370	Bacteroides thetaiotaomicron	2	54.8932418823242			22	20	2.0	30.1912830352783	1000	30191.2830352783				
64	2024-05-10	y	E05	0_F2	0.0	F	2	384	Bacteroides thetaiotaomicron	2	372.361785888672			22	20	2.0	204.79898223877	1000	204798.98223877				
65	2024-05-10	y	F05	0_F3	0.0	F	3	343	Bacteroides thetaiotaomicron	2	125.303535461426			22	20	2.0	68.9169445037842	1000	68916.9445037842				
66	2024-05-10	y	G05	2_M1	2.5	M	1	535	Bacteroides thetaiotaomicron	2	35.4625434875488			22	20	2.0	19.5043989181519	1000	19504.3989181519				
67	2024-05-10	y	H05	2_M2	2.5	M	2	495	Bacteroides thetaiotaomicron	2	1526.85498046875			22	20	2.0	839.770239257812	1000	839770.239257812				
68	2024-05-10	y	A06	2_M3	2.5	M	3	491	Bacteroides thetaiotaomicron	2	485.726898193359			22	20	2.0	267.149794006348	1000	267149.794006348				
